date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:51:19	120/120	---MCZ	200	added ('OK')	text/plain	etag:W/%2211348-1752468887;br%22	https://ummulqurodepok.sch.id/robots.txt		(from )
14:51:21	186463/186463	---MCZ	200	added ('OK')	text/html	date:Thu,%2017%20Jul%202025%2007:51:19%20GMT	https://ummulqurodepok.sch.id/	C:/My%20Web%20Sites/ummul/ummulqurodepok.sch.id/index.html	(from )
14:51:21	456044/456044	---MCZ	200	added ('OK')	text/css	date:Fri,%2031%20Jan%202025%2001:03:58%20GMT	https://ummulqurodepok.sch.id/wp-content/cache/autoptimize/css/autoptimize_2f138ffb3c2cb1870b4fc40d0966e1c4.css	C:/My%20Web%20Sites/ummul/ummulqurodepok.sch.id/wp-content/cache/autoptimize/css/autoptimize_2f138ffb3c2cb1870b4fc40d0966e1c4.css	(from https://ummulqurodepok.sch.id/)
14:51:21	1876/1876	---MCZ	200	added ('OK')	text/css	date:Fri,%2031%20Jan%202025%2000:55:55%20GMT	https://ummulqurodepok.sch.id/wp-content/cache/autoptimize/css/autoptimize_single_dda81a70c8a40c2f77d654c49c3ab22b.css?ver=1738284953	C:/My%20Web%20Sites/ummul/ummulqurodepok.sch.id/wp-content/cache/autoptimize/css/autoptimize_single_dda81a70c8a40c2f77d654c49c3ab22b6117.css	(from https://ummulqurodepok.sch.id/)
14:51:21	27252/27252	---MCZ	200	added ('OK')	text/css	date:Fri,%2031%20Jan%202025%2001:03:58%20GMT	https://ummulqurodepok.sch.id/wp-content/cache/autoptimize/css/autoptimize_single_82b36a95a6611b31ee500c904d099a2d.css?ver=1738285437	C:/My%20Web%20Sites/ummul/ummulqurodepok.sch.id/wp-content/cache/autoptimize/css/autoptimize_single_82b36a95a6611b31ee500c904d099a2d2003.css	(from https://ummulqurodepok.sch.id/)
14:51:21	1543/1543	---MCZ	200	added ('OK')	text/css	date:Fri,%2031%20Jan%202025%2001:03:58%20GMT	https://ummulqurodepok.sch.id/wp-content/cache/autoptimize/css/autoptimize_single_ba9d2a823bff0aea6e64389271a54882.css?ver=1738285437	C:/My%20Web%20Sites/ummul/ummulqurodepok.sch.id/wp-content/cache/autoptimize/css/autoptimize_single_ba9d2a823bff0aea6e64389271a548822003.css	(from https://ummulqurodepok.sch.id/)
14:51:22	10989/10989	---MCZ	200	added ('OK')	text/css	date:Fri,%2031%20Jan%202025%2001:03:58%20GMT	https://ummulqurodepok.sch.id/wp-content/cache/autoptimize/css/autoptimize_single_b318ef49679e09d74ef2800511c1e5e9.css?ver=1738285437	C:/My%20Web%20Sites/ummul/ummulqurodepok.sch.id/wp-content/cache/autoptimize/css/autoptimize_single_b318ef49679e09d74ef2800511c1e5e92003.css	(from https://ummulqurodepok.sch.id/)
14:51:22	16196/16196	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%2266524eac905dba2c0b942bdc6dec7e2a%22	https://ummulqurodepok.sch.id/feed/	C:/My%20Web%20Sites/ummul/ummulqurodepok.sch.id/feed/index.html	(from https://ummulqurodepok.sch.id/)
14:51:22	4893/4893	---MCZ	200	added ('OK')	text/css	date:Fri,%2031%20Jan%202025%2000:55:55%20GMT	https://ummulqurodepok.sch.id/wp-content/cache/autoptimize/css/autoptimize_single_bb08355857a9bad0c4c396a1e17884ec.css?ver=1738284953	C:/My%20Web%20Sites/ummul/ummulqurodepok.sch.id/wp-content/cache/autoptimize/css/autoptimize_single_bb08355857a9bad0c4c396a1e17884ec6117.css	(from https://ummulqurodepok.sch.id/)
14:51:22	841/841	---MCZ	200	added ('OK')	text/css	date:Fri,%2031%20Jan%202025%2000:55:55%20GMT	https://ummulqurodepok.sch.id/wp-content/cache/autoptimize/css/autoptimize_single_1973055a66782b78ba377bc8e64ca781.css?ver=1738284954	C:/My%20Web%20Sites/ummul/ummulqurodepok.sch.id/wp-content/cache/autoptimize/css/autoptimize_single_1973055a66782b78ba377bc8e64ca781101f.css	(from https://ummulqurodepok.sch.id/)
14:51:22	87553/87553	---MCZ	200	added ('OK')	text/javascript	date:Mon,%2028%20Aug%202023%2017:14:23%20GMT	https://ummulqurodepok.sch.id/wp-includes/js/jquery/jquery.min.js?ver=3.7.1	C:/My%20Web%20Sites/ummul/ummulqurodepok.sch.id/wp-includes/js/jquery/jquery.minf43b.js	(from https://ummulqurodepok.sch.id/)
14:51:23	7738/7738	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%2266524eac905dba2c0b942bdc6dec7e2a%22	https://ummulqurodepok.sch.id/comments/feed/	C:/My%20Web%20Sites/ummul/ummulqurodepok.sch.id/comments/feed/index.html	(from https://ummulqurodepok.sch.id/)
14:51:24	356801/356801	---MCZ	200	added ('OK')	application/json	etag:W/%2211789-1752738684;br%22	https://ummulqurodepok.sch.id/wp-json/	C:/My%20Web%20Sites/ummul/ummulqurodepok.sch.id/wp-json/index.html	(from https://ummulqurodepok.sch.id/)
14:51:25	166894/166894	---MCZ	200	added ('OK')	application/json	date:Thu,%2017%20Jul%202025%2007:51:25%20GMT	https://ummulqurodepok.sch.id/wp-json/wp/v2/pages/5285	C:/My%20Web%20Sites/ummul/ummulqurodepok.sch.id/wp-json/wp/v2/pages/5285.json	(from https://ummulqurodepok.sch.id/)
14:51:25	787/787	---MCZ	403	error ('Forbidden')	text/html	date:Thu,%2017%20Jul%202025%2007:51:25%20GMT	https://ummulqurodepok.sch.id/xmlrpc.php?rsd	C:/My%20Web%20Sites/ummul/ummulqurodepok.sch.id/xmlrpc0db0.php	(from https://ummulqurodepok.sch.id/)
14:51:25	2123/2123	---MCZ	200	added ('OK')	application/json	etag:W/%2211583-1752584395;br%22	https://ummulqurodepok.sch.id/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fummulqurodepok.sch.id%2F	C:/My%20Web%20Sites/ummul/ummulqurodepok.sch.id/wp-json/oembed/1.0/embed60f5.json	(from https://ummulqurodepok.sch.id/)
14:51:25	2278/2278	---MCZ	200	added ('OK')	text/xml	etag:W/%2211584-1752584398;br%22	https://ummulqurodepok.sch.id/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fummulqurodepok.sch.id%2F&format=xml	C:/My%20Web%20Sites/ummul/ummulqurodepok.sch.id/wp-json/oembed/1.0/embed44c2	(from https://ummulqurodepok.sch.id/)
14:51:26	1885/1885	---M--	200	added ('OK')	image/png	date:Sat,%2020%20Jan%202024%2009:39:08%20GMT	https://ummulqurodepok.sch.id/wp-content/uploads/2023/12/favicon.png	C:/My%20Web%20Sites/ummul/ummulqurodepok.sch.id/wp-content/uploads/2023/12/favicon.png	(from https://ummulqurodepok.sch.id/)
14:51:26	11246/11246	---MCZ	200	added ('OK')	image/svg+xml	date:Sat,%2020%20Jan%202024%2009:39:08%20GMT	https://ummulqurodepok.sch.id/wp-content/uploads/2023/12/logo-sit-uq-cropped.svg	C:/My%20Web%20Sites/ummul/ummulqurodepok.sch.id/wp-content/uploads/2023/12/logo-sit-uq-cropped.svg	(from https://ummulqurodepok.sch.id/)
14:51:26	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2017%20Jul%202025%2007:51:26%20GMT	https://ummulqurodepok.sch.id/tentang	C:/My%20Web%20Sites/ummul/ummulqurodepok.sch.id/tentang	(from https://ummulqurodepok.sch.id/)
14:51:26	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2017%20Jul%202025%2007:51:26%20GMT	https://ummulqurodepok.sch.id/hanif-hanna	C:/My%20Web%20Sites/ummul/ummulqurodepok.sch.id/hanif-hanna	(from https://ummulqurodepok.sch.id/)
14:51:27	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2017%20Jul%202025%2007:51:26%20GMT	https://ummulqurodepok.sch.id/makna-logo	C:/My%20Web%20Sites/ummul/ummulqurodepok.sch.id/makna-logo	(from https://ummulqurodepok.sch.id/)
14:51:27	140957/140957	---MCZ	200	added ('OK')	text/html	date:Thu,%2017%20Jul%202025%2007:51:27%20GMT	https://ummulqurodepok.sch.id/tentang/	C:/My%20Web%20Sites/ummul/ummulqurodepok.sch.id/tentang/index.html	(from https://ummulqurodepok.sch.id/)
14:51:27	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2017%20Jul%202025%2007:51:27%20GMT	https://ummulqurodepok.sch.id/mading-prestasi	C:/My%20Web%20Sites/ummul/ummulqurodepok.sch.id/mading-prestasi	(from https://ummulqurodepok.sch.id/)
14:51:28	92130/92130	---MCZ	200	added ('OK')	text/html	date:Thu,%2017%20Jul%202025%2007:51:27%20GMT	https://ummulqurodepok.sch.id/hanif-hanna/	C:/My%20Web%20Sites/ummul/ummulqurodepok.sch.id/hanif-hanna/index.html	(from https://ummulqurodepok.sch.id/)
14:51:28	56134/56134	---M--	200	added ('OK')	image/gif	date:Sat,%2020%20Jan%202024%2009:39:08%20GMT	https://ummulqurodepok.sch.id/wp-content/uploads/2023/12/new.gif	C:/My%20Web%20Sites/ummul/ummulqurodepok.sch.id/wp-content/uploads/2023/12/new.gif	(from https://ummulqurodepok.sch.id/)
14:51:28	86354/86354	---MCZ	200	added ('OK')	text/html	date:Thu,%2017%20Jul%202025%2007:51:28%20GMT	https://ummulqurodepok.sch.id/makna-logo/	C:/My%20Web%20Sites/ummul/ummulqurodepok.sch.id/makna-logo/index.html	(from https://ummulqurodepok.sch.id/)
14:51:28	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2017%20Jul%202025%2007:51:28%20GMT	https://ummulqurodepok.sch.id/tkit	C:/My%20Web%20Sites/ummul/ummulqurodepok.sch.id/tkit	(from https://ummulqurodepok.sch.id/)
14:51:29	98196/98196	---MCZ	200	added ('OK')	text/html	date:Thu,%2017%20Jul%202025%2007:51:28%20GMT	https://ummulqurodepok.sch.id/mading-prestasi/	C:/My%20Web%20Sites/ummul/ummulqurodepok.sch.id/mading-prestasi/index.html	(from https://ummulqurodepok.sch.id/)
14:51:30	129566/129566	---MCZ	200	added ('OK')	text/html	date:Thu,%2017%20Jul%202025%2007:51:29%20GMT	https://ummulqurodepok.sch.id/tkit/	C:/My%20Web%20Sites/ummul/ummulqurodepok.sch.id/tkit/index.html	(from https://ummulqurodepok.sch.id/)
14:51:30	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2017%20Jul%202025%2007:51:29%20GMT	https://ummulqurodepok.sch.id/sdit	C:/My%20Web%20Sites/ummul/ummulqurodepok.sch.id/sdit	(from https://ummulqurodepok.sch.id/)
14:51:30	128722/128722	---MCZ	200	added ('OK')	text/html	date:Thu,%2017%20Jul%202025%2007:51:30%20GMT	https://ummulqurodepok.sch.id/sdit/	C:/My%20Web%20Sites/ummul/ummulqurodepok.sch.id/sdit/index.html	(from https://ummulqurodepok.sch.id/)
14:51:30	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2017%20Jul%202025%2007:51:30%20GMT	https://ummulqurodepok.sch.id/smpit	C:/My%20Web%20Sites/ummul/ummulqurodepok.sch.id/smpit	(from https://ummulqurodepok.sch.id/)
14:51:31	130280/130280	---MCZ	200	added ('OK')	text/html	date:Thu,%2017%20Jul%202025%2007:51:30%20GMT	https://ummulqurodepok.sch.id/smpit/	C:/My%20Web%20Sites/ummul/ummulqurodepok.sch.id/smpit/index.html	(from https://ummulqurodepok.sch.id/)
14:51:31	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2017%20Jul%202025%2007:51:30%20GMT	https://ummulqurodepok.sch.id/unit-pengumpul-zakat	C:/My%20Web%20Sites/ummul/ummulqurodepok.sch.id/unit-pengumpul-zakat	(from https://ummulqurodepok.sch.id/)
